location,city,state,city_primary,audience_segment,creative_size,creative_messaging,state_raw,app_url,exchange,device_make,impressions,clicks,viewable_impressions,measurable_impressions,total_conversions,gross_cost,ctr,conv_rate,cpa,cpc,eCPM,view_rate,vCPM
"Los Angeles, California",Los Angeles,California,Los Angeles,Online Behavior>United States>Travel>Tourist Destinations>Regional Parks and Gardens,300x250,Subscribe Today - 10% Discount,California,cbsnews.com,Google Ad Manager,Windows PC,48211,160,30157,43810,14,6708.463351,0.003318744684822966,0.0875,479.17595364285717,41.92789594375,139.1479818091307,0.6883588221867154,222.4512833173061
"New York City, New York",New York City,New York,New York City,Online Behavior>United States>Autos and Vehicles>Brands>Mazda,320x50,Subscribe Today - 10% Discount,New York,cbsnews.com,TripleLift,Smartphone,134847,450,104268,128470,125,6040.595578,0.003337115397450444,0.2777777777777778,48.324764624000004,13.42354572888889,44.79592114025525,0.811613606289406,57.933359976215144
"West Palm Beach-Ft. Pierce, Florida",West Palm Beach-Ft. Pierce,Florida,West Palm Beach,Online Behavior>United States>Travel>Tourist Destinations>Mountain and Ski Resorts,320x50,Subscribe Today - 10% Discount,Florida,cbsnews.com,BidSwitch,Smartphone,35178,155,23374,33779,8,5738.809089,0.004406162942748309,0.05161290322580645,717.351136125,37.02457476774194,163.1363093126386,0.6919683827229935,245.521052836485
"Los Angeles, California",Los Angeles,California,Los Angeles,Online Behavior>United States>Validated Demographic>Gender and Age Combined>Females 45-54,320x50,Subscribe Today - 10% Discount,California,cbsnews.com,Google Ad Manager,Smartphone,43117,100,6478,27405,8,4250.430439,0.0023192708212537976,0.08,531.303804875,42.504304389999994,98.5789929494167,0.23638022258711913,656.1331335288669
"Lansing, Michigan",Lansing,Michigan,Lansing,US>Reach>Propensity Models>Hobbies and Interest>Sports>Avid Runners,300x250,10% Discount - Ends 6/1,Michigan,cbsnews.com,BidSwitch,Smartphone,510778,1290,70777,436133,6,3870.253867,0.002525559049136807,0.004651162790697674,645.04231116666665,3.000196796124031,7.577174167642303,0.1622830650283285,54.682366686918066
"San Francisco, California",San Francisco,California,San Francisco,OnAudience>Interest>Business,300x250,Sign up Today - 10% Off,California,cbsnews.com,PubMatic,Smartphone,13700,63,3609,12644,4,2032.700147,0.004598540145985402,0.06349206349206349,508.17503675,32.2650816984127,148.37227350364964,0.2854318253717178,563.2308525907454
"Miami-Ft. Lauderdale, Florida",Miami-Ft. Lauderdale,Florida,Miami,US>Reach>Propensity Models>Real Estate>Monthly Mortgage Payment>$800-$999,300x250,Sign up Now - 10% Off,Florida,cbsnews.com,Index Exchange,Apple PC,13075,74,5980,12114,15,1936.130798,0.005659655831739962,0.20270270270270271,129.07538653333333,26.163929702702703,148.07883732313576,0.4936437180122173,323.7676919732441
"Miami-Ft. Lauderdale, Florida",Miami-Ft. Lauderdale,Florida,Miami,US>Green Consumer Audience,320x50,Subscribe Today - 10% Discount,Florida,cbsnews.com,Smart RTB+ (Smartadserver),Smartphone,69540,204,28713,62829,15,1838.98773,0.002933563416738568,0.07352941176470588,122.599182,9.014645735294119,26.445034943917168,0.4570023396839039,64.04721659178769
"New York City, New York",New York City,New York,New York City,US>Reach>Propensity Models>Household Consumer Expenditures>Lawn and Garden,300x250,Sign up Today - 10% Off,New York,cbsnews.com,Google Ad Manager,Windows PC,65983,212,8536,57434,3,1599.076249,0.003212948789839807,0.014150943396226415,533.0254163333333,7.542812495283019,24.23467027870815,0.14862276700212418,187.3332063027179
"Chicago, Illinois",Chicago,Illinois,Chicago,US Interest>Home>Home Improvement>Home Improvement Grouping,320x50,Subscribe Today - 10% Discount,Illinois,cbsnews.com,Google Ad Manager,Smartphone,21478,50,15548,20651,24,1541.214047,0.002327963497532359,0.48,64.21725195833334,30.824280939999998,71.75780086600241,0.7528933223572708,99.1261928865449
"New York City, New York",New York City,New York,New York City,Online Behavior>United States>Real Estate>Apartments and Residential Rentals,320x50,Sign up Now - 10% Off,New York,cbssports.com,Google Ad Manager,Smartphone,9515,30,6169,9138,3,5776.508186,0.0031529164477141357,0.1,1925.5027286666666,192.55027286666666,607.0949223331583,0.6750930181659006,936.3767524720377
"Chicago, Illinois",Chicago,Illinois,Chicago,US>Reach>Propensity Models>Hobbies and Interest>Food and Drinks>High-end Spirit Drinkers,320x50,Sign up Today - 10% Off,Illinois,cbssports.com,OpenX,Smartphone,20548,40,14259,19654,13,3060.424769,0.0019466614755693985,0.325,235.41728992307694,76.510619225,148.9402749172669,0.7255011702452427,214.63109397573461
"Charleston, South Carolina",Charleston,South Carolina,Charleston,OnAudience>Intent>Sporting Goods>Team Sports,300x250,10% Discount - Ends 6/1,South Carolina,cbssports.com,Magnite DV+,Apple PC,94340,250,16955,76971,13,1517.244377,0.0026499894000424,0.052,116.71110592307693,6.068977508,16.08272606529574,0.22027776695118942,89.48654538484223
"Grand Rapids-Kalamazoo, Michigan",Grand Rapids-Kalamazoo,Michigan,Grand Rapids,Online Behavior>United States>Validated Demographic>Age>25-44,300x50,Sign up Today - 10% Off,Michigan,cheapoair.com,PubMatic,Smartphone,114723,350,14623,92063,6,4742.008637,0.003050826774055769,0.017142857142857144,790.3347728333333,13.548596105714285,41.33441975018087,0.15883688343851493,324.28425336798193
"Chicago, Illinois",Chicago,Illinois,Chicago,Media and Entertainment>Sports and Recreational Activities>Interest (Affinity),300x250,Sign up Now - 10% Off,Illinois,cheapoair.com,Google Ad Manager,Smartphone,14581,85,6970,8882,4,2636.202124,0.0058295041492353065,0.047058823529411764,659.050531,31.014142635294117,180.79707317742267,0.7847331682053591,378.22125164992826
"Chicago, Illinois",Chicago,Illinois,Chicago,Online Behavior>United States>Travel>Tourist Destinations>Beaches and Islands,300x50,10% Discount - Ends 6/1,Illinois,cheezburger.com,Google Ad Manager,Smartphone,19461,74,14647,18731,9,7311.99875,0.003802476748368532,0.12162162162162163,812.4443055555555,98.81079391891892,375.7257463645239,0.7819657252682718,499.2147709428552
"Chicago, Illinois",Chicago,Illinois,Chicago,Online Behavior>United States>The Changing Consumer>Direct to Consumer,320x50,Sign up Today - 10% Off,Illinois,cheezburger.com,PubMatic,Smartphone,27032,110,21893,26127,5,5292.896913,0.004069251257768571,0.045454545454545456,1058.5793826,48.11724466363636,195.8011583678603,0.8379454204462816,241.76206609418531
"Jacksonville, Florida",Jacksonville,Florida,Jacksonville,Online Behavior>United States>Arts and Entertainment>Music and Audio,300x250,Sign up Today - 10% Off,Florida,chicagotribune.com,Google Ad Manager,Smartphone,7628,19,5048,7154,5,6684.062804,0.0024908232826428944,0.2631578947368421,1336.8125608,351.79277915789476,876.2536449921342,0.7056192339949678,1324.1011893819334
