location,city,state,city_primary,audience_segment,creative_size,creative_messaging,state_raw,app_url,exchange,device_make,impressions,clicks,viewable_impressions,measurable_impressions,total_conversions,gross_cost
"Chicago, Illinois",Chicago,Illinois,Chicago,Online Behavior>United States>Validated Demographic>Gender and Age Combined>Males 18-44,300x250,10% Discount - Ends 6/1,Illinois,realtor.com,BidSwitch,Apple PC,10815,25,4321,9646,2,4921.594843
"Chattanooga, Tennessee",Chattanooga,Tennessee,Chattanooga,Online Behavior>United States>B2B>Occupation>ComputerProgrammer,300x250,10% Discount - Ends 6/1,Tennessee,realtor.com,Yahoo Exchange,Apple PC,114194,380,50923,104074,2,4036.089376
"Peoria-Bloomington, Illinois",Peoria-Bloomington,Illinois,Peoria,US>Reach>Propensity Models>Lifestyle>Healthy Living,300x250,Subscribe Today - 10% Discount,Illinois,realtor.com,Google Ad Manager,Smartphone,15449,50,4595,13765,1,3122.942574
"New York City, New York",New York City,New York,New York City,US>Reach>Propensity Models>Hobbies and Interest>Sports>NHL Enthusiast,300x250,Sign up Now - 10% Off,New York,realtor.com,Sovrn,Smartphone,114267,110,60964,108301,5,2679.154068
"Knoxville, Tennessee",Knoxville,Tennessee,Knoxville,US>Reach>Propensity Models>Hobbies and Interest>Sports>Fishing,300x250,Subscribe Today - 10% Discount,Tennessee,realtor.com,PubMatic,Apple PC,65043,160,25871,53969,4,2347.918531
"Chicago, Illinois",Chicago,Illinois,Chicago,US>Interest Propensities>Food and Drink>American Cuisine,320x50,Sign up Today - 10% Off,Illinois,realtor.com,Google Ad Manager,Smartphone,85280,211,35860,79837,5,2217.932092
"Chicago, Illinois",Chicago,Illinois,Chicago,US>Reach>Propensity Models>Finance>Credit>Debit Card>Store Credit Card User,320x50,Subscribe Today - 10% Discount,Illinois,realtor.com,Magnite DV+,Smartphone,51515,144,18304,44891,14,2160.307325
"Tampa-St Petersburg (Sarasota), Florida",Tampa-St Petersburg (Sarasota),Florida,Tampa,US>Brand Propensities>Apparel>Shoebuy.com Buyer Propensity,320x50,10% Discount - Ends 6/1,Florida,realtor.com,BidSwitch,Smartphone,43666,133,18513,40506,18,1980.393834
"Chicago, Illinois",Chicago,Illinois,Chicago,Travel and Tourism>In-Market,300x250,Sign up Now - 10% Off,Illinois,realtor.com,Google Ad Manager,Apple PC,48892,110,32060,45251,9,1978.609661
"Miami-Ft. Lauderdale, Florida",Miami-Ft. Lauderdale,Florida,Miami,US>Interest Propensities>TV and Movies>Network TV,320x50,Subscribe Today - 10% Discount,Florida,realtor.com,Google Ad Manager,Smartphone,104814,369,55984,99432,5,1942.847513
"San Francisco, California",San Francisco,California,San Francisco,US>Sociodemographic>P$YCLE Premier Lifestage>F4 Working-Class USA,320x50,10% Discount - Ends 6/1,California,realtor.com,BidSwitch,Smartphone,64577,240,37732,60357,11,1801.349131
"Nashville, Tennessee",Nashville,Tennessee,Nashville,US>B2B>B2B Decision Maker Responsibilities>Office Services or Moving,300x250,Sign up Today - 10% Off,Tennessee,realtor.com,BidSwitch,Apple PC,49412,170,22155,43802,3,1595.659466
"Grand Rapids-Kalamazoo, Michigan",Grand Rapids-Kalamazoo,Michigan,Grand Rapids,Telecommunications and Mobile Tech>Mobile Devices and Connected Technology,300x250,Subscribe Today - 10% Discount,Michigan,realtor.com,PubMatic,Apple PC,11269,63,4992,10245,3,1576.38921
"New York City, New York",New York City,New York,New York City,US Home>Property Type>Single,320x50,Subscribe Today - 10% Discount,New York,realtor.com,BidSwitch,Smartphone,15318,30,5928,13298,19,1570.29739
"San Francisco, California",San Francisco,California,San Francisco,US Health and Fitness>Interest>Exercise>Health,300x50,10% Discount - Ends 6/1,California,realtor.com,BidSwitch,Smartphone,10819,20,4168,9768,2,1504.329214
"Grand Rapids-Kalamazoo, Michigan",Grand Rapids-Kalamazoo,Michigan,Grand Rapids,OnAudience>Interest>Arts & Entertainment>Movies,300x250,Subscribe Today - 10% Discount,Michigan,realtor.com,BidSwitch,Smartphone,30714,111,12531,28461,9,1503.484311
"Los Angeles, California",Los Angeles,California,Los Angeles,OnAudience>Interest>Arts & Entertainment,320x50,Subscribe Today - 10% Discount,California,redfin.com,OpenX,Smartphone,37617,85,5092,34373,6,1608.882952
"Miami-Ft. Lauderdale, Florida",Miami-Ft. Lauderdale,Florida,Miami,Online Behavior>United States>Validated Demographic>Age>18 or older,300x250,Sign up Today - 10% Off,Florida,reference.com,Google Ad Manager,Windows PC,219088,541,75638,153987,17,6761.073824
"Orlando-Daytona Beach, Florida",Orlando-Daytona Beach,Florida,Orlando,US>Multibuyer Behaviors>Entertainment>Pastimes Multibuyer,300x250,Sign up Now - 10% Off,Florida,rent.com,BidSwitch,Smartphone,15277,69,3089,13644,4,1904.564346
"Lansing, Michigan",Lansing,Michigan,Lansing,US>Sociodemographic>PRIZM Premier Social>C2 City Centers,300x250,10% Discount - Ends 6/1,Michigan,rent.com,Google Ad Manager,Windows PC,34278,100,3704,30227,6,1689.083186
"New York City, New York",New York City,New York,New York City,Lotame>Personal Finance>Stocks,300x250,Sign up Now - 10% Off,New York,repairlinkshop.com,Yahoo Exchange,Smartphone,13382,68,3340,11662,1,1447.927193
"Little Rock-Pine Bluff, Arkansas",Little Rock-Pine Bluff,Arkansas,Little Rock,Online Behavior>United States>Autos and Vehicles>Brands>Citroen,320x50,Sign up Today - 10% Off,Arkansas,reuters.com,Magnite DV+,Smartphone,9319,30,6193,8682,12,4594.604003
